,target,id,date,flag,user,text
109237,0,1824503485,Sun May 17 01:39:55 PDT 2009,NO_QUERY,gritchie,@angpang95 did you get back to sleep? Don't think I managed more than a few hours 
702848,0,2255524763,Sat Jun 20 11:23:38 PDT 2009,NO_QUERY,hgvgary,@daniela_alexand think i lost hope yrs ago 
422639,0,2062693290,Sun Jun 07 00:00:19 PDT 2009,NO_QUERY,brittanyop,"@ChampionPhts oohh girl we need to go there, its the old La Meridian.. &amp; its crackin!! And they don't want 2 go  just drove by grrrr"
156138,0,1956039940,Thu May 28 21:04:28 PDT 2009,NO_QUERY,InfectedBoot,@lynx12304 I don't know. My live account went silver 
799737,0,2329113269,Thu Jun 25 10:21:55 PDT 2009,NO_QUERY,abbennett,@kurly I totally forgot and missed it 
756321,0,2288686714,Mon Jun 22 19:29:13 PDT 2009,NO_QUERY,lkmeister,@AnnMarieNski They're getting a divorce. 
646016,0,2236419320,Fri Jun 19 03:39:42 PDT 2009,NO_QUERY,ufogamers,"Saber is suffering a headache, would like to rest but can't leave the website. Hooty and LorD swamped with work, Remus wireless-less "
319658,0,2003105402,Tue Jun 02 05:53:24 PDT 2009,NO_QUERY,bill_archie,@AnneAAM you should! i LOVE Prison Break.i only have till ep 5   .
694808,0,2253092455,Sat Jun 20 07:34:14 PDT 2009,NO_QUERY,renz_sui,is at home at a Saturday night. *sigh*  http://plurk.com/p/12gnd5
213724,0,1975069738,Sat May 30 14:22:59 PDT 2009,NO_QUERY,jonasxoxoxoxo,Summer School starts in a week...I hate failing classes 
24916,0,1558160160,Sun Apr 19 07:28:25 PDT 2009,NO_QUERY,Ray_chull,@YesMaytee Yeah I think so. I want WE back 
325447,0,2007307222,Tue Jun 02 12:27:15 PDT 2009,NO_QUERY,_MisterG,Wolfram Alpha can't solve crimes  Do you know who killed cock robin? http://bit.ly/nA0s3
680799,0,2249588815,Fri Jun 19 22:37:17 PDT 2009,NO_QUERY,LeeAnn9597,then I will find something new to read... perhaps that new Sara dessen book? I am bummed I couldn't go to the signing tonight 
475835,0,2177714012,Mon Jun 15 06:34:47 PDT 2009,NO_QUERY,dennis93q,Not feeling very well . . . I really can't afford to get sick right now!! 
5102,0,1468988636,Tue Apr 07 04:43:49 PDT 2009,NO_QUERY,Lannaa,"Silverstein stuff still isn't here  lame. I don't like our postman, he's a knob"
699557,0,2254485871,Sat Jun 20 09:49:22 PDT 2009,NO_QUERY,dnunez21,@DavidArchie please reply back david! 
622207,0,2229102263,Thu Jun 18 15:17:07 PDT 2009,NO_QUERY,luschulz,I just wanna you here by my side 
399787,0,2057243489,Sat Jun 06 12:38:23 PDT 2009,NO_QUERY,TashaSelf,how can I just switch on the TV and witness the moment of Pratt's death!  That episode should be banned. Am babysitting
462832,0,2174783180,Sun Jun 14 23:18:20 PDT 2009,NO_QUERY,nitskibhu,not enough rest on the weekend..now im dead tired 
38293,0,1573229412,Tue Apr 21 00:14:41 PDT 2009,NO_QUERY,Desireez,3 days mc. what the fuck. 
781908,0,2323521106,Thu Jun 25 00:50:24 PDT 2009,NO_QUERY,kamikaze126,the swine flu better not spoil my holiday plans.... 
68391,0,1692816457,Sun May 03 20:51:12 PDT 2009,NO_QUERY,Shandy_Girl,"@mileycyrus miley, and what about of ur mexican fans  we lov u too, i hope u can come to mexico soon to see how much we lov u xoxo Sandy"
753716,0,2286977005,Mon Jun 22 17:11:00 PDT 2009,NO_QUERY,anjelique__,At Chris and Jessica's with Thylar. Going get Max later  I'm going to miss him.
286299,0,1993869826,Mon Jun 01 11:03:26 PDT 2009,NO_QUERY,danisse,I think we'll be hitting 90 today. Spring is over. 
604661,0,2222010293,Thu Jun 18 06:21:32 PDT 2009,NO_QUERY,ovicute,Listening Where do i go from you by Jon Secada! Suddenly mellow.. 
327194,0,2009034644,Tue Jun 02 15:02:47 PDT 2009,NO_QUERY,NordicMoxie,Will the M's give me a win in my attendance tonight? So far I am 1 for 10 win:losses when I attending M's game. Sad  
73818,0,1694637761,Mon May 04 03:30:54 PDT 2009,NO_QUERY,xFrancieNolanx,Awake. Am definitely going back to sleep soon. Bedroom is cave-like again. Can't resist it. Alex is going to turn the light on thought. 
636468,0,2233924514,Thu Jun 18 22:07:38 PDT 2009,NO_QUERY,colonelquakers,@CrystalLewis60 i miss diddy's!! I was so pissed  lol
356530,0,2044310177,Fri Jun 05 09:10:19 PDT 2009,NO_QUERY,thatlass,apparently i still need to do the sodding sainsburys shop before i get to go out  maybe i should just go out in my work clothes
521657,0,2192483446,Tue Jun 16 07:06:17 PDT 2009,NO_QUERY,strtthrev,Long drive 
506737,0,2188728069,Mon Jun 15 22:26:41 PDT 2009,NO_QUERY,LibrarianIdol,possibly should have applied sunscreen to my back before spending multiple hours snorkeling... 
115283,0,1827045498,Sun May 17 09:52:34 PDT 2009,NO_QUERY,wompkin,#3turnoffwords I have diarrhea 
629602,0,2231703531,Thu Jun 18 18:55:01 PDT 2009,NO_QUERY,MakeupMel,@glamourdolleyes I know sorry.  They don't have any rhyme or reason for how they pk partners I don't think.
373734,0,2051081210,Fri Jun 05 19:49:42 PDT 2009,NO_QUERY,agood0102,Is working a double tomorrow FML 
414429,0,2060820857,Sat Jun 06 19:38:32 PDT 2009,NO_QUERY,uniques0BADD,@mrstephens85 my head hurt hella bad 
337051,0,2014130542,Wed Jun 03 00:32:58 PDT 2009,NO_QUERY,alsyourpal,Pooey. I will just have to wake early... 
373268,0,2050967665,Fri Jun 05 19:37:11 PDT 2009,NO_QUERY,CoGI_UCSB,@MicrobeWorld #KrispyKreme sounds delicious. To bad there isn't one close to me 
713604,0,2258884084,Sat Jun 20 16:39:25 PDT 2009,NO_QUERY,ellywirda,splittin' headache.. 
749811,0,2285267208,Mon Jun 22 14:55:05 PDT 2009,NO_QUERY,karabranden,Zumba time soon...and once again pouring in NY 
687679,0,2251340073,Sat Jun 20 03:11:08 PDT 2009,NO_QUERY,Jess1210,@Crownlessking badtimes mate  its not fair and nothing anyone can say is guna make it easier or better but we're here for you xx
479587,0,2178942152,Mon Jun 15 08:25:27 PDT 2009,NO_QUERY,stateofemergncy,"on a somber note, this will be the first LA Lakers championship celebration without Chick Hearn. "
63344,0,1687495777,Sun May 03 08:51:01 PDT 2009,NO_QUERY,grneyedgoddess,@hollywoodintern I won't b @ my church 4 the next 3 Sundays 
624613,0,2229959014,Thu Jun 18 16:26:47 PDT 2009,NO_QUERY,palpatation,I just finished walking Apache... now I'm a sweaty ninja!kitty 
256963,0,1984854632,Sun May 31 15:56:35 PDT 2009,NO_QUERY,shayla76,"Brother surprised me and took to play minigolf paying.28 degrees warm.Did some cleaning of apartment and laundry,not fun "
307895,0,2000576573,Mon Jun 01 22:26:00 PDT 2009,NO_QUERY,vanillaiscool,http://twitpic.com/6g7ok - Too bad the orange one died  R.I.P.
143948,0,1881851866,Fri May 22 05:42:24 PDT 2009,NO_QUERY,bellaamadis,@lunatyc  thinking of you guys! hope everything is ok
408866,0,2059507203,Sat Jun 06 17:04:21 PDT 2009,NO_QUERY,Destroyerrr13,BOREDDD. Wanna play some BF heroes. 
458047,0,2071769502,Sun Jun 07 19:54:03 PDT 2009,NO_QUERY,CrystalMOwens,This is the 5th time I've had hicups today ... Oooh please make them go away  I just want to go to sleep ...
713306,0,2258792311,Sat Jun 20 16:30:20 PDT 2009,NO_QUERY,WowieD,Its restored but I think I've lost photos taken on iphone 
562761,0,2205741975,Wed Jun 17 05:21:17 PDT 2009,NO_QUERY,Brightsmile84,It took me a half hour to get to work this morning. I wish I lived in Bethesda with @missFarida. Only in my wildest dreams 
90242,0,1755731659,Sun May 10 09:53:06 PDT 2009,NO_QUERY,melodiadelapaz,Hungry!I totally need some food right now.. aww tomorrow weekend's over  that's a mess!
22046,0,1557402449,Sun Apr 19 03:54:00 PDT 2009,NO_QUERY,Akaike,I'm really not looking forward to going into work today   Weather's too nice outside!
24520,0,1558025811,Sun Apr 19 06:59:39 PDT 2009,NO_QUERY,taalz,@TheBuGz mine is not working then .. 
709724,0,2257693525,Sat Jun 20 14:44:37 PDT 2009,NO_QUERY,Carrickfb,i hate robin hood. why did alan have to die?  but the really cool sheriff's back! wooo! so i still love it!
556666,0,2204335107,Wed Jun 17 01:56:56 PDT 2009,NO_QUERY,briiiiipolden,"Every night lately, I'm suffering with terrible insomnia. Someone @ reply me a cure. I need help  I need to sleep..."
380386,0,2052550915,Sat Jun 06 01:07:13 PDT 2009,NO_QUERY,kiirrrssttyy,@Haus_OfEmily But it was really scary! And I tried to get out one of the doors and it was locked so I thought I was locked inside 
484032,0,2180599118,Mon Jun 15 10:41:18 PDT 2009,NO_QUERY,Vic773,@CityGirl912 I guess it is my fault... 
658590,0,2241590838,Fri Jun 19 11:08:10 PDT 2009,NO_QUERY,SkrappyLH,@Jonah599 Thanks for the rain song.  It's still raining here too.    But music brings the sun!  What was your first &quot;Yay!&quot; for?
383422,0,2053195104,Sat Jun 06 03:38:48 PDT 2009,NO_QUERY,shizzyshooshee,hates bhindis or red spots! Poor Daniel 
620330,0,2228299933,Thu Jun 18 14:16:01 PDT 2009,NO_QUERY,RippsBLack,am running out of orange juice :s - worse than having nee pot this 
323459,0,2005206516,Tue Jun 02 09:21:46 PDT 2009,NO_QUERY,SY94,ok I am actually ganna start reading again 
153643,0,1933004674,Tue May 26 22:44:58 PDT 2009,NO_QUERY,squashpotash,Hi all. Dismiss any overemotionalism or overreacting... I am just in a mood. 
636656,0,2233975277,Thu Jun 18 22:12:43 PDT 2009,NO_QUERY,itspizzanight,"@JuliaZBIRD dude, i should have watched hangover with her  i still need to see it!!"
792567,0,2326323844,Thu Jun 25 06:52:48 PDT 2009,NO_QUERY,celinda_m,boo for Blackberry having extra characters for texts. 
277141,0,1991200946,Mon Jun 01 06:35:50 PDT 2009,NO_QUERY,nisemonolabs,Trying to make sense of Prism in Silverlight... unzipped the Feb09 package from MSDN but can't find those dlls I'm looking for... weird.. 
66140,0,1691345499,Sun May 03 17:39:21 PDT 2009,NO_QUERY,PeitaRudd,@liz_danes what holiday is it?  I'm so outta QLD loop these days! *sad face*
390615,0,2054726305,Sat Jun 06 07:57:56 PDT 2009,NO_QUERY,cookie_fan,@carlottap but i wont be in LA. 
759723,0,2296341616,Tue Jun 23 09:03:56 PDT 2009,NO_QUERY,Jenni_xD,@aprismyth oooh I can't! I'm at my grans  now I'll be left out :'(
432412,0,2064744174,Sun Jun 07 07:03:55 PDT 2009,NO_QUERY,DanielB91,Lookin forward to 5s tonight workin mon to thursday next week 
609672,0,2223838312,Thu Jun 18 08:46:24 PDT 2009,NO_QUERY,chunzychunz,@tubee I guess it's quite hard to do business with close friends 
678009,0,2248857618,Fri Jun 19 21:18:07 PDT 2009,NO_QUERY,normc,Emmaus has had a fever for two days and has been crying for three hours. The best part is that we have to get up at 3:30 for a flight  #fb
566738,0,2206947045,Wed Jun 17 07:16:30 PDT 2009,NO_QUERY,gotaVAMPIRE,@Lzephyr boo  I'm in the SAR &quot;working&quot; on my portfolio XDD
